"Title","Artist","Album","Time","BPM","Key","URL","Start Time","Deck"
"YMCA (LD)","The Village People",,"03:46","126.7","Gb","ipod-library://item/item.mp3?id=2022462885417765278","2025-01-12T04:28:34Z","1"
"Dopamine (feat. Eyelar)","Purple Disco Machine","Exotica","03:36","118.0","D","ipod-library://item/item.mp3?id=2022462885417765096","2025-01-12T04:30:13Z","2"
"Hey Ya! (Radio Mix)","Outkast","Speakerboxxx/The Love Below","03:55","79.5","G","ipod-library://item/item.mp3?id=2022462885417765216","2025-01-12T04:33:30Z","1"
"2 Die 4 (Jax Jones Midnight Snacks Remix)","Tove Lo & Jax Jones","2 Die 4 (Jax Jones Midnight Snacks Remix) - Single","02:36","125.0","Db","ipod-library://item/item.mp3?id=2022462885417765210","2025-01-12T04:37:09Z","2"
"Party In The U.S.A. (D)","Miley Cyrus","Party In The U.S.A. ","03:22","96.0","Gb","ipod-library://item/item.mp3?id=2022462885417765233","2025-01-12T04:39:30Z","1"
"Go Bang","PNAU","Changa","03:09","121.0","D","ipod-library://item/item.mp3?id=2022462885417765046","2025-01-12T04:42:36Z","2"
"Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Ofenbach & Quarterhead","Head Shoulders Knees & Toes (feat. Norma Jean Martine) - Single","02:36","125.0","G","ipod-library://item/item.m4a?id=8144889064486561667","2025-01-12T04:45:32Z","1"
"Footloose","Kenny Loggins","Footloose (Soundtrack) [15th Anniversary Collectors' Edition]","03:46","174.1","Bb","ipod-library://item/item.m4a?id=4183608934455048423","2025-01-12T04:48:28Z","2"
"Classic","MKTO","MKTO","02:55","102.0","Db","ipod-library://item/item.mp3?id=2022462885417765277","2025-01-12T04:52:01Z","1"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
