"Title","Artist","Album","Time","BPM","Key","URL","Start Time","Deck"
"My Type","Saint Motel","My Type - EP","03:26","118.0","F","ipod-library://item/item.mp3?id=2022462885417764910","2025-05-11T03:15:40Z","1"
"Party In The U.S.A. (D)","Miley Cyrus","Party In The U.S.A. ","03:22","96.0","Gb","ipod-library://item/item.mp3?id=2022462885417765233","2025-05-11T03:22:57Z","1"
"21 Reasons (feat. Ella Henderson)","Nathan Dawe","21 Reasons (feat. Ella Henderson) - Single","02:35","124.0","Gb","ipod-library://item/item.mp3?id=2022462885417765071","2025-05-11T03:26:16Z","2"
"My Type","Saint Motel","My Type - EP","03:26","118.0","F","ipod-library://item/item.mp3?id=2022462885417764910","2025-05-11T03:28:46Z","1"
"Pop Muzik","M, Robin Scott",,"03:20","107.4","Db","ipod-library://item/item.mp3?id=2022462885417765134","2025-05-11T03:31:58Z","2"
"La Cumbia Buena","Mister Cumbia","La Cumbia Buena - Single","04:10","96.0","C","ipod-library://item/item.m4a?id=6343677640512083665","2025-05-11T03:35:04Z","1"
"Thunder","Imagine Dragons","Evolve","03:07","84.0","C","ipod-library://item/item.m4a?id=3580826076044393477","2025-05-11T03:38:58Z","2"
"Pon de Replay","Rihanna",,"03:33","99.0","A","ipod-library://item/item.mp3?id=2022462885417764889","2025-05-11T03:41:50Z","1"
"Vivir Mi Vida","Marc Anthony","3.0","04:12","105.0","Eb","ipod-library://item/item.m4a?id=1107320653202941717","2025-05-11T03:45:09Z","2"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
