"Title","Artist","Album","Time","BPM","Key","URL","Start Time","Deck"
"Big Green Tractor","Jason Aldean","Wide Open","03:24","137.0","E","ipod-library://item/item.m4a?id=7181600721292157302","2025-11-12T14:56:43Z","1"
"Piece Of Your Heart","MEDUZA & Goodboys","Piece Of Your Heart - Single","02:32","124.0","Db","ipod-library://item/item.mp3?id=2022462885417764893","2025-11-12T14:57:17Z","1"
"Life is a Highway","Rascal Flatts","Cars","04:35","103.1","F","ipod-library://item/item.mp3?id=2022462885417765165","2025-11-12T14:59:48Z","2"
"Freight Train","Aaron Watson","The Underdog","02:55","145.0","E","ipod-library://item/item.mp3?id=2022462885417765341","2025-11-12T14:59:52Z","1"
"Hung Up","Madonna",,"03:21","125.0","F","ipod-library://item/item.mp3?id=2022462885417765009","2025-11-12T15:27:49Z","2"
"Diamonds (feat. Jannine Weigel)","GAWVI","Diamonds (feat. Jannine Weigel) - Single","03:06","100.0","Db","ipod-library://item/item.mp3?id=2022462885417765107","2025-11-12T15:30:55Z","1"
"Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Ofenbach & Quarterhead","Head Shoulders Knees & Toes (feat. Norma Jean Martine) - Single","02:36","125.0","G","ipod-library://item/item.m4a?id=8144889064486561667","2025-11-12T15:33:46Z","2"
"Pon de Replay","Rihanna",,"03:33","99.0","A","ipod-library://item/item.mp3?id=2022462885417764889","2025-11-12T15:36:07Z","1"
"Call Me Maybe","Carly Rae Jepsen","Call Me Maybe","03:13","120.0","G","ipod-library://item/item.mp3?id=2022462885417764927","2025-11-12T15:39:23Z","2"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
