"Title","Artist","Album","Time","BPM","Key","URL","Start Time","Deck"
"Big Green Tractor","Jason Aldean","Wide Open","03:24","137.0","E","ipod-library://item/item.m4a?id=7181600721292157302","2025-09-06T00:47:59Z","1"
"La Iguana","Dinastya Angelito","La Iguana - Single","04:25","100.5","F","ipod-library://item/item.m4a?id=6343677640512083667","2025-09-06T00:49:10Z","2"
"La Chona","Los Tucanes de Tijuana","Para Tucancillos y Tucancillas","03:19","145.1","G","ipod-library://item/item.mp3?id=2022462885417765033","2025-09-06T00:49:45Z","1"
"Life is a Highway","Rascal Flatts","Cars","04:35","103.1","F","ipod-library://item/item.mp3?id=2022462885417765165","2025-09-06T00:52:44Z","2"
"Ocean (feat. Khalid)","Martin Garrix","Ocean (feat. Khalid) - Single","03:36","140.0","Eb","ipod-library://item/item.m4a?id=2833328445669870054","2025-09-06T00:53:35Z","2"
"Go Bang","PNAU","Changa","03:09","121.0","D","ipod-library://item/item.mp3?id=2022462885417765046","2025-09-06T00:54:34Z","1"
"Freight Train","Aaron Watson","The Underdog","02:55","145.0","E","ipod-library://item/item.mp3?id=2022462885417765341","2025-09-06T00:57:28Z","2"
"Take My Breath","Yusuf Alev & Jordan Rys","Take My Breath - Single","02:14","124.0","Eb","ipod-library://item/item.mp3?id=2022462885417764841","2025-09-06T04:05:16Z","1"
"Party In The U.S.A. (D)","Miley Cyrus","Party In The U.S.A. ","03:22","96.0","Gb","ipod-library://item/item.mp3?id=2022462885417765233","2025-09-06T04:05:25Z","2"
"Lil Boo Thang","Paul Russell","Lil Boo Thang - Single","01:54","114.5","C","ipod-library://item/item.mp3?id=2022462885417764944","2025-09-06T04:08:31Z","1"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
